No,Category,Issue,Keywords,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
1,Responsive,Mobile-first breakpoints,sm md lg xl 2xl tailwind viewport min-width progressive,Web,Start with narrow layout then enhance with min-width media queries; align with Tailwind defaults (640/768/1024/1280/1536).,Base styles for mobile; add md: lg: as needed,max-width-first or device-named breakpoints only,"grid-cols-1 md:grid-cols-2 lg:grid-cols-3","hidden lg:block only // no mobile base",High
2,Responsive,Container queries,container-type inline-size @container cqi cqw component,Web,Let components respond to their parent width; use inline-size containment and named containers when helpful.,container-type: inline-size on wrapper; @container (min-width: …) for layout shifts,Rely on viewport only for reusable cards,".wrap{@container}.card{@container (min-width:400px){flex-direction:row}}","@media (min-width:768px) for card in sidebar",High
3,Responsive,Fluid typography,clamp vw fluid type scale,Web,Scale type between min/max with clamp() or fluid tokens; reduces jumpy breakpoint-only font sizes.,font-size: clamp(1rem; 0.9rem+0.5vw; 1.125rem) or design tokens,Fixed px headings across all widths,"text style via clamp or --text-* fluid vars","font-size: 24px everywhere",Medium
4,Responsive,Fluid spacing,clamp spacing scale gutter,Web,Padding and gap can use clamp() or token scales so density adapts smoothly.,Use fluid space tokens or clamp for section padding,Same fixed padding on phone and desktop,"py-[clamp(1rem,4vw,3rem)]","p-16 on mobile",Medium
5,Responsive,CSS Grid auto-fit,auto-fit minmax intrinsic grid,Web,Grids that wrap by available width without hard column counts at each breakpoint.,repeat(auto-fit; minmax(min(100%;280px); 1fr)),Fixed 4 columns on small screens,"grid-cols-[repeat(auto-fit,minmax(16rem,1fr))]","grid-cols-4 on xs",High
6,Responsive,Flexbox 1D layout,flex wrap stack row column,Web,Use flex for nav bars; stack on narrow; row when space allows with flex-wrap or breakpoint/container.,flex-col then md:flex-row or @container switch,fixed horizontal scroll nav on mobile,"flex flex-col md:flex-row gap-4","flex-nowrap overflow-x",Medium
7,Responsive,Viewport height,dvh svh lvh 100vh mobile chrome,Web,Full-height layouts: prefer 100dvh or min-height dvh to avoid mobile browser UI jump; svh/lvh when semantic.,min-h-[100dvh] or min-h-screen with awareness,100vh alone for critical full-bleed mobile,"min-h-dvh","h-screen // 100vh stuck under bars",High
8,Responsive,Responsive images,picture srcset sizes art direction,Web,Use srcset/sizes or picture for crops; lazy below fold; eager for LCP.,sizes matching layout; webp/avif when possible,One huge image for all viewports,"sizes='(max-width:640px) 100vw; 50vw'","img 4000px wide only",High
9,Responsive,Responsive tables,overflow-x card layout mobile table,Web,Horizontal scroll with min-width or card rows on small screens; preserve header semantics on desktop.,overflow-x-auto + min-w or md:table + mobile cards,Shrunk unreadable table,"hidden md:table / md:hidden cards","table text-xs cram",High
10,Responsive,Responsive navigation,hamburger drawer lg:flex aria-expanded,Web,Collapsible nav on small screens; visible horizontal on large; keyboard and aria-expanded.,button aria-controls aria-expanded; focus trap in drawer if modal,Click-only tiny menu icon,"aria-expanded={open} aria-controls='nav'",nav with no menu on mobile,High
11,Responsive,Touch targets,44px min tap hit area,Web,Interactive controls meet ~44px minimum; spacing between tappable elements.,py-3 px-4 or min-h-11 min-w-11,10px icon-only buttons without label/padding,"min-h-11 min-w-11","w-6 h-6 icon button no label",Critical
12,Responsive,Content breakpoints,rem content natural wrap,Web,Break where content needs room not only by device names; use ch/rem widths when fitting text.,max-w-prose; break when sidebar fits,ipad breakpoint comments only,"@media (min-width:50rem) // sidebar fits","@media (min-width:768px) // ipad",Medium
13,Responsive,Logical properties,margin-inline padding-block rtl,Web,Use inline/block and logical properties for spacing and borders for i18n and consistent axes.,padding-inline margin-block,start/end mixed with left/right only in LTR-specific cases,"ps-4 pe-4","pl-4 // breaks RTL intent",Medium
14,Responsive,Feature queries,supports container grid gap fallback,Web,Enhance with @supports(container-type) or grid; provide simpler fallback.,@supports for container queries with media fallback,Assume grid everywhere,"@supports (container-type:inline-size){...}","display:grid // no fallback",Medium
15,Responsive,Horizontal overflow,overflow-x min-w-0 flex child,Web,Prevent stray overflow: min-w-0 on flex children; overflow-x-auto only where intended.,min-w-0 on flex items; contain wide content,Ignore body scrollWidth > innerWidth,"min-w-0 on flex-1 child","flex child with long unbroken string no min-w-0",High
